experiment_id,category,dataset,method,model,condition,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,source_figure_file,status,notes
foundation_noise_wgn_lvl100_none_svm_rbf,noise_robustness,db5,wgn,SVM_RBF,noise=wgn; level=10.0; denoise=none,0.7166936265373329,0.7175009710144542,0.003256383185681328,0.003075391790982399,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl100_none_rf,noise_robustness,db5,wgn,RF,noise=wgn; level=10.0; denoise=none,0.880433017745832,0.8803453108661785,0.00561466389365719,0.005629383820143006,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_none_lda,noise_robustness,db5,wgn,LDA,noise=wgn; level=20.0; denoise=none,0.3695465753328059,0.36805385011040614,0.004867132128290467,0.0048744124199737665,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_none_svm_rbf,noise_robustness,db5,wgn,SVM_RBF,noise=wgn; level=20.0; denoise=none,0.7249707551784684,0.7257267602871631,0.0034431554599071356,0.003253572503232389,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_none_rf,noise_robustness,db5,wgn,RF,noise=wgn; level=20.0; denoise=none,0.9134320785312211,0.9133945869661219,0.0043271496145973545,0.004275930051651399,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_notch_lda,noise_robustness,db5,wgn,LDA,noise=wgn; level=20.0; denoise=notch,0.36542171698639,0.3641336831449132,0.0054514491746974845,0.005094755956654566,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_notch_svm_rbf,noise_robustness,db5,wgn,SVM_RBF,noise=wgn; level=20.0; denoise=notch,0.7235230297116492,0.7243083739870768,0.0053629988960126615,0.005233265665978317,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_notch_rf,noise_robustness,db5,wgn,RF,noise=wgn; level=20.0; denoise=notch,0.9094710762530855,0.9094248302888225,0.003348162064241739,0.0033904182432242086,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_kalman_lda,noise_robustness,db5,wgn,LDA,noise=wgn; level=20.0; denoise=kalman,0.3418471765413419,0.3410708796253618,0.004173639740896493,0.00439114490463546,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_kalman_svm_rbf,noise_robustness,db5,wgn,SVM_RBF,noise=wgn; level=20.0; denoise=kalman,0.7260088236849083,0.7266770585486482,0.0032124475208337912,0.003025667933703063,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl200_kalman_rf,noise_robustness,db5,wgn,RF,noise=wgn; level=20.0; denoise=kalman,0.8034802578193171,0.8037603464821371,0.0038815035007324777,0.0037873669781914037,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_dl_matrix,noise_robustness,db5,DL noise matrix,dualres_xception2d,see outputs/summaries/dl_noise_results.csv,,,,,outputs/summaries/dl_noise_results.csv,,pending,DL noise matrix aligned to ML protocol (pending execution)
